"month","year","mtl","mhw","mlw","nhw","nlw","msl","dyear"
11,2004,2.427,3.774,1.079,58,57,2.461,2004.875
12,2004,2.473,3.823,1.123,60,60,2.519,2004.958
1,2005,2.428,3.821,1.036,58,58,2.475,2005.042
2,2005,2.276,3.674,0.878,54,54,2.334,2005.125
3,2005,2.403,3.815,0.99,59,59,2.456,2005.208
4,2005,2.446,3.84,1.052,58,58,2.493,2005.292
5,2005,2.43,3.813,1.046,60,59,2.475,2005.375
6,2005,2.443,3.837,1.049,57,57,2.485,2005.458
7,2005,2.453,3.817,1.088,58,58,2.49,2005.542
8,2005,2.463,3.803,1.122,59,59,2.496,2005.625
9,2005,2.514,3.895,1.133,58,58,2.557,2005.708
10,2005,2.585,3.973,1.197,59,59,2.634,2005.792
11,2005,2.543,3.918,1.168,57,57,2.588,2005.875
12,2005,2.472,3.842,1.102,59,59,2.521,2005.958
1,2006,NA,NA,NA,78,79,NA,2006.042
2,2006,NA,NA,NA,11,12,NA,2006.125
3,2006,NA,NA,NA,120,121,NA,2006.208
4,2006,NA,NA,NA,112,113,NA,2006.292
5,2006,NA,NA,NA,112,115,NA,2006.375
6,2006,NA,NA,NA,117,116,NA,2006.458
7,2006,NA,NA,NA,111,113,NA,2006.542
8,2006,NA,NA,NA,119,120,NA,2006.625
9,2006,2.607,4.015,1.2,55,55,2.65,2006.708
10,2006,2.698,4.067,1.329,60,59,2.738,2006.792
11,2006,2.708,4.107,1.309,58,58,2.751,2006.875
12,2006,2.6,3.997,1.203,58,59,2.642,2006.958
1,2007,2.535,3.914,1.156,59,59,2.582,2007.042
2,2007,2.568,3.983,1.153,53,53,2.618,2007.125
3,2007,2.403,3.788,1.018,59,60,2.467,2007.208
4,2007,2.347,3.748,0.947,58,58,2.398,2007.292
5,2007,2.47,3.846,1.093,59,60,2.508,2007.375
6,2007,2.521,3.861,1.181,57,58,2.558,2007.458
7,2007,2.531,3.912,1.15,60,60,2.563,2007.542
8,2007,2.463,3.875,1.052,60,60,2.509,2007.625
9,2007,2.445,3.856,1.034,57,58,2.493,2007.708
10,2007,2.532,3.938,1.125,60,60,2.575,2007.792
11,2007,2.488,3.846,1.13,57,57,2.528,2007.875
12,2007,2.559,3.932,1.186,59,59,2.606,2007.958
1,2008,2.639,3.99,1.288,59,58,2.699,2008.042
2,2008,2.536,3.921,1.151,56,57,2.596,2008.125
3,2008,2.473,3.831,1.116,59,58,2.533,2008.208
4,2008,2.492,3.879,1.105,57,57,2.539,2008.292
5,2008,2.489,3.878,1.1,60,60,2.527,2008.375
6,2008,2.475,3.874,1.077,57,57,2.518,2008.458
7,2008,2.538,3.925,1.152,60,60,2.577,2008.542
8,2008,2.551,3.96,1.141,58,59,2.599,2008.625
9,2008,2.5,3.897,1.103,58,58,2.549,2008.708
10,2008,2.565,3.955,1.175,60,60,2.609,2008.792
11,2008,2.503,3.86,1.147,58,58,2.544,2008.875
12,2008,2.483,3.842,1.124,59,59,2.521,2008.958
1,2009,2.623,4.02,1.225,59,59,2.67,2009.042
2,2009,2.458,3.826,1.091,54,53,2.506,2009.125
3,2009,2.427,3.84,1.013,60,60,2.482,2009.208
4,2009,2.47,3.869,1.071,58,58,2.519,2009.292
5,2009,2.464,3.85,1.078,60,60,2.51,2009.375
6,2009,2.486,3.884,1.088,58,57,2.53,2009.458
7,2009,2.557,3.933,1.18,60,60,2.6,2009.542
8,2009,2.545,3.908,1.182,61,60,2.596,2009.625
9,2009,2.458,3.838,1.078,58,58,2.511,2009.708
10,2009,2.593,3.987,1.2,60,60,2.643,2009.792
11,2009,2.742,4.136,1.348,58,58,2.776,2009.875
12,2009,2.704,4.081,1.326,59,61,2.718,2009.958
