"month","year","mtl","mhw","mlw","nhw","nlw","msl","dyear"
2,2012,-0.285,1.188,-1.758,56,56,-0.226,2012.125
3,2012,-0.25,1.191,-1.691,60,60,-0.192,2012.208
4,2012,-0.113,1.36,-1.585,58,57,-0.057,2012.292
5,2012,-0.121,1.342,-1.584,60,60,-0.076,2012.375
6,2012,-0.045,1.436,-1.527,58,58,-0.002,2012.458
7,2012,-0.084,1.397,-1.565,60,60,-0.039,2012.542
8,2012,0.003,1.507,-1.5,60,60,0.051,2012.625
9,2012,-0.044,1.44,-1.527,58,58,0.011,2012.708
10,2012,0.062,1.546,-1.421,59,60,0.108,2012.792
11,2012,0.082,1.54,-1.376,58,58,0.119,2012.875
12,2012,0.067,1.527,-1.393,60,60,0.111,2012.958
1,2013,0.008,1.498,-1.481,60,60,0.058,2013.042
2,2013,-0.131,1.347,-1.609,54,54,-0.076,2013.125
3,2013,-0.011,1.501,-1.523,60,60,0.042,2013.208
4,2013,-0.058,1.437,-1.552,58,58,-0.003,2013.292
5,2013,-0.143,1.345,-1.631,60,60,-0.092,2013.375
6,2013,-0.153,1.332,-1.637,58,58,-0.108,2013.458
7,2013,-0.113,1.35,-1.576,60,59,-0.058,2013.542
8,2013,-0.062,1.381,-1.504,60,60,-0.009,2013.625
9,2013,-0.08,1.379,-1.54,58,58,-0.029,2013.708
10,2013,0.097,1.566,-1.373,60,60,0.143,2013.792
11,2013,-0.094,1.37,-1.559,58,58,-0.041,2013.875
12,2013,0.118,1.626,-1.39,60,60,0.16,2013.958
1,2014,0.124,1.67,-1.421,59,60,0.172,2014.042
2,2014,0.128,1.658,-1.402,55,54,0.175,2014.125
3,2014,-0.15,1.411,-1.712,59,60,-0.09,2014.208
4,2014,-0.09,1.436,-1.615,58,58,-0.035,2014.292
5,2014,-0.136,1.356,-1.629,60,60,-0.086,2014.375
6,2014,-0.133,1.338,-1.604,58,58,-0.089,2014.458
7,2014,-0.097,1.381,-1.575,60,60,-0.047,2014.542
8,2014,-0.059,1.431,-1.549,60,60,-0.01,2014.625
9,2014,-0.084,1.414,-1.582,58,58,-0.031,2014.708
10,2014,0.101,1.592,-1.39,60,60,0.152,2014.792
11,2014,NA,NA,NA,29,29,NA,2014.875
1,2015,NA,NA,NA,19,18,NA,2015.042
2,2015,-0.253,1.273,-1.78,54,54,-0.187,2015.125
3,2015,-0.167,1.317,-1.65,60,60,-0.109,2015.208
4,2015,-0.182,1.31,-1.674,58,58,-0.125,2015.292
5,2015,-0.085,1.396,-1.566,60,60,-0.036,2015.375
6,2015,-0.11,1.358,-1.579,58,58,-0.061,2015.458
7,2015,-0.017,1.474,-1.509,60,60,0.025,2015.542
8,2015,-0.04,1.486,-1.566,59,60,0.018,2015.625
9,2015,NA,NA,NA,24,24,NA,2015.708
10,2015,0.021,1.558,-1.516,60,60,0.077,2015.792
11,2015,0.075,1.573,-1.423,58,58,0.129,2015.875
12,2015,0.207,1.686,-1.273,60,60,0.254,2015.958
1,2016,0.107,1.576,-1.363,60,60,0.153,2016.042
2,2016,-0.027,1.482,-1.536,55,55,0.031,2016.125
3,2016,-0.159,1.321,-1.639,60,60,-0.107,2016.208
4,2016,-0.085,1.409,-1.579,58,58,-0.035,2016.292
5,2016,-0.065,1.432,-1.562,60,59,-0.013,2016.375
6,2016,-0.078,1.426,-1.582,58,58,-0.03,2016.458
7,2016,-0.059,1.437,-1.554,60,60,-0.007,2016.542
8,2016,-0.029,1.474,-1.532,60,60,0.022,2016.625
9,2016,0.033,1.534,-1.469,58,58,0.087,2016.708
10,2016,-0.022,1.466,-1.511,60,60,0.029,2016.792
11,2016,-0.038,1.432,-1.509,58,58,0.013,2016.875
12,2016,0.007,1.475,-1.461,59,60,0.058,2016.958
1,2017,-0.096,1.384,-1.576,60,60,-0.043,2017.042
2,2017,0.017,1.49,-1.457,54,54,0.067,2017.125
3,2017,-0.07,1.463,-1.602,60,60,-0.012,2017.208
4,2017,-0.164,1.327,-1.656,57,57,-0.11,2017.292
5,2017,0.035,1.531,-1.462,60,60,0.081,2017.375
6,2017,0.145,1.625,-1.334,58,58,0.192,2017.458
7,2017,0.125,1.582,-1.332,60,60,0.173,2017.542
8,2017,-0.063,1.38,-1.506,60,59,-0.008,2017.625
9,2017,-0.051,1.407,-1.508,58,58,-0.004,2017.708
10,2017,-0.033,1.426,-1.492,60,60,0.016,2017.792
11,2017,0.23,1.704,-1.243,58,58,0.284,2017.875
12,2017,0.227,1.7,-1.246,60,60,0.275,2017.958
1,2018,0.041,1.53,-1.449,60,60,0.093,2018.042
2,2018,-0.116,1.341,-1.573,54,54,-0.058,2018.125
3,2018,0.151,1.657,-1.355,59,60,0.204,2018.208
4,2018,NA,NA,NA,9,9,NA,2018.292
11,2018,NA,NA,NA,13,13,NA,2018.875
12,2018,-0.025,1.461,-1.512,59,58,0.033,2018.958
1,2019,NA,NA,NA,41,41,NA,2019.042
2,2019,NA,NA,NA,38,38,NA,2019.125
